epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,3819.45,0.66605,0.43048,1.03574,0.47045,0.41027,0.40133,0.16127,2.58692,2.6527,3.08481,0.000114094,0.000114094,0.000114094
165,3843.3,0.67438,0.44701,1.03775,0.63301,0.37352,0.40696,0.16603,2.67151,2.70163,3.14441,0.000108822,0.000108822,0.000108822
166,3866.73,0.67632,0.45492,1.03934,0.58906,0.35647,0.39624,0.15855,2.64133,2.68272,3.06332,0.000103679,0.000103679,0.000103679
167,3890.05,0.6643,0.43607,1.03399,0.48269,0.40269,0.38597,0.17936,2.60098,2.77346,2.98455,9.86659e-05,9.86659e-05,9.86659e-05
168,3913.27,0.67793,0.43963,1.03996,0.56363,0.37036,0.40626,0.16927,2.59448,2.72107,2.99547,9.37843e-05,9.37843e-05,9.37843e-05
169,3936.38,0.64915,0.42224,1.02334,0.45766,0.44373,0.41856,0.17126,2.59711,2.70472,3.00691,8.90352e-05,8.90352e-05,8.90352e-05
170,3959.63,0.65168,0.42815,1.02014,0.5266,0.38746,0.39583,0.16338,2.64555,2.77359,3.03553,8.442e-05,8.442e-05,8.442e-05
171,3982.82,0.67056,0.43898,1.03337,0.53337,0.3888,0.41121,0.18754,2.63536,2.73641,3.01528,7.99397e-05,7.99397e-05,7.99397e-05
172,4006.1,0.66803,0.44456,1.03095,0.47439,0.41063,0.40964,0.17929,2.58273,2.82062,2.99003,7.55954e-05,7.55954e-05,7.55954e-05
173,4029.24,0.64053,0.42388,1.01977,0.60561,0.36737,0.41093,0.16985,2.60231,2.75045,3.0068,7.13883e-05,7.13883e-05,7.13883e-05
174,4052.46,0.64176,0.41816,1.01314,0.61692,0.36182,0.40777,0.18769,2.6165,2.79177,3.00162,6.73192e-05,6.73192e-05,6.73192e-05
175,4075.82,0.66767,0.44381,1.03727,0.53878,0.3889,0.40819,0.1805,2.56289,2.62842,2.98324,6.33893e-05,6.33893e-05,6.33893e-05
